nama,provinsi,kota,kategori,rating,latitude,longitude,deskripsi,harga
Candi Borobudur,Jawa Tengah,Magelang,Candi,4.8,-7.6079,110.2038,Candi Buddha terbesar di Asia Tenggara,50000
Pantai Kuta,Bali,Badung,Pantai,4.5,-8.7245,115.1889,Pantai terkenal dengan pasir putih dan ombak,0
Gunung Bromo,Jawa Timur,Probolinggo,Gunung,4.9,-7.9424,112.9511,Gunung berapi aktif dengan pemandangan spektakuler,0
Candi Prambanan,Jawa Tengah,Sleman,Candi,4.7,-7.7520,110.4925,Candi Hindu dengan arsitektur megah,50000
Danau Toba,Sumatera Utara,Karo,Danau,4.6,2.6850,99.1596,Danau vulkanik terbesar di Indonesia,0
Museum Nasional,DKI Jakarta,Jakarta Pusat,Museum,4.4,-6.1374,106.8159,Museum terbesar di Asia Tenggara,30000
Taman Laut Bunaken,Sulawesi Utara,Manado,Taman Laut,4.7,1.5897,124.7625,Taman laut dengan biodiversity tinggi,50000
Taman Hiburan Dufan,DKI Jakarta,Jakarta Utara,Taman Hiburan,4.3,-6.1267,106.8733,Taman hiburan terlengkap di Indonesia,75000
Goa Jomblang,DKI Yogyakarta,Banten,Goa,4.6,-7.7850,110.3850,Goa dengan air terjun bawah tanah,25000
Air Panas Geopark,Jawa Barat,Sukabumi,Air Panas,4.4,-6.9500,107.0000,Pemandian air panas alami dengan mineral tinggi,20000
Pantai Tanah Lot,Bali,Tabanan,Pantai,4.6,-8.6274,115.1426,Pantai dengan candi di tebing,0
Danau Ranu Kumbolo,Jawa Timur,Pasuruan,Danau,4.7,-7.8600,112.6500,Danau alpine dengan pemandangan gunung,0
Candi Mendut,Jawa Tengah,Magelang,Candi,4.5,-7.6167,110.2000,Candi Buddha dengan relief indah,30000
Taman Nasional Komodo,Nusa Tenggara Timur,Manggarai,Taman Laut,4.8,-8.3000,119.4000,Habitat komodo dengan landscape unik,150000
Museum Tekstil,DKI Jakarta,Jakarta Pusat,Museum,4.2,-6.1967,106.8064,Museum koleksi batik dan tekstil tradisional,20000
Pantai Parangtritis,DKI Yogyakarta,Bantul,Pantai,4.4,-7.9956,110.3664,Pantai pasir hitam dengan keindahan sunset,0
Desa Wisata Ubud,Bali,Gianyar,Desa Wisata,4.5,-8.5078,115.2625,Desa tradisional dengan seni dan budaya kaya,0
Gunung Semeru,Jawa Timur,Lumajang,Gunung,4.8,-7.9428,112.9250,Gunung tertinggi di Jawa dengan pemandangan laut,0
Taman Bunga Celosia,Jawa Barat,Kuningan,Taman Hiburan,4.1,-6.9833,108.4833,Taman bunga dengan koleksi tanaman langka,25000
Candi Sewu,Jawa Tengah,Sleman,Candi,4.6,-7.7333,110.4917,Candi dengan 240 pendopo candi kecil,30000
Pantai Nusa Dua,Bali,Badung,Pantai,4.4,-8.7167,115.2167,Pantai resort berkembang dengan pasir putih,0
Lake Toba National Park,Sumatera Utara,Simalungun,Taman Laut,4.5,2.5000,99.0000,Taman nasional danau terbesar Indonesia,0
Museum Batik,DKI Yogyakarta,Yogyakarta,Museum,4.3,-7.7967,110.4116,Museum khusus koleksi batik Indonesia,25000
Gunung Merapi,Jawa Tengah,Sleman,Gunung,4.7,-7.5333,110.4417,Gunung berapi aktif dengan panorama unik,0
Air Terjun Sipiso-piso,Sumatera Utara,Karo,Air Panas,4.5,3.2000,98.5000,Air terjun tertinggi di Indonesia,50000
Candi Barabudur Terrace,Jawa Tengah,Magelang,Candi,4.7,-7.6100,110.2050,Platform candi dengan pemandangan 360 derajat,40000
